label	x	y	z
Oz	7.80	-88.84	73.24
O1	-23.21	-84.40	71.66
O2	38.51	-80.89	67.80
T5	-64.73	-52.46	54.25
T6	74.48	-44.61	53.55
P3	-43.61	-44.15	108.96
TP7	-75.25	-23.15	49.60
P4	56.64	-39.04	104.20
Pz	5.49	-39.38	128.00
TP8	84.21	-17.45	46.91
T4	85.01	12.77	36.58
T3	-79.63	4.34	41.19
CP3	-56.51	-13.57	110.80
CP4	63.93	-4.96	108.70
CPz	2.98	-3.90	135.70
FT7	-74.99	35.48	40.35
C3	-60.85	19.10	100.82
FT8	80.30	38.60	34.47
C4	65.92	26.23	100.97
Cz	4.12	31.33	130.26
F7	-65.67	59.09	33.60
FC3	-54.89	48.20	91.64
F8	72.69	66.20	31.45
FC4	58.11	53.78	93.59
FCz	2.92	57.63	119.33
F3	-46.02	77.16	77.64
F4	50.07	79.96	81.64
Fz	2.03	83.97	100.63
Fp1	-36.46	102.46	32.75
Fp2	35.44	107.52	35.57
